product_name,Product_attribute_list,material,warranty
Apple iPhone 15 Pro,"features: A17 Pro chip, 120 Hz ProMotion display, USB‑C fast charging; dimensions: compact","titanium frame, Ceramic Shield glass",1‑year limited warranty
Samsung Galaxy S24 Ultra,"features: 200 MP camera, S‑Pen support, 120 Hz AMOLED; sustainably sourced","Armor Aluminum frame, Gorilla Glass Victus",1‑year limited warranty
Google Pixel 8 Pro,"features: Tensor G3 chip, Magic Eraser, 50 MP camera; rating: 4.7/5","matte glass back, aluminum frame",1‑year limited warranty
Sony WH‑1000XM5 Headphones,"features: active noise cancelling, 30 hr battery, Bluetooth 5.2; capacity: large",synthetic leather earcups,1‑year limited warranty
Bose QuietComfort Ultra Earbuds,"features: CustomTune sound calibration, ANC, IPX4; award‑winning design",silicone ear tips,1‑year limited warranty
Amazon Echo Dot (5th Gen),"features: Alexa voice assistant, temperature sensor, improved bass; sustainably sourced",recycled fabric mesh,1‑year limited warranty
Dell XPS 13 9310 Laptop,"features: 13.4″ FHD+ display, Intel Core i5, Thunderbolt 4; dimensions: compact",CNC aluminum & carbon‑fiber palmrest,1‑year limited hardware warranty
Apple MacBook Air 13″ (M3),"features: M3 chip, 18‑hour battery, 1080p camera; energy efficient",recycled aluminum unibody,1‑year limited warranty
Microsoft Surface Pro 10,"features: Intel Core Ultra, detachable keyboard, 13″ PixelSense; dimensions: compact",magnesium alloy chassis,1‑year limited warranty
Garmin Forerunner 255,"features: multi‑band GPS, HRV status, 14‑day battery; rating: 4.7/5",fiber‑reinforced polymer,1‑year limited warranty
Fitbit Charge 6,"features: heart‑rate monitor, built‑in GPS, 7‑day battery; color options: multiple",aluminum case,1‑year limited warranty
GoPro HERO12 Black,"features: 5.3K60 video, HyperSmooth 6.0, waterproof 10 m; capacity: large",rugged polycarbonate,1‑year limited warranty
DJI Mini 4 Pro Drone,"features: 4K/60fps, omnidirectional obstacle sensing, <250 g; rating: 4.7/5",composite plastic,1‑year limited warranty
Nintendo Switch OLED,"features: 7″ OLED screen, docked & handheld modes, 64 GB storage; capacity: large",plastic chassis,1‑year limited warranty
PlayStation 5 Slim,"features: ray tracing, haptic feedback controller, 1 TB SSD; battery: long‑lasting",plastic shell,1‑year limited warranty
Xbox Series X,"features: 12 TFLOPS GPU, 1 TB SSD, 4K @ 120 Hz; battery: long‑lasting",matte black casing,1‑year limited warranty
