financebench_id,question,correctness,faithfulness,page_hit_at_1,page_hit_at_3,page_hit_at_5
financebench_id_00005,"Does Corning have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",incorrect,0.0,0,0,0
financebench_id_00070,"Does American Water Works have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",incorrect,0.6,1,1,1
financebench_id_00080,"Does Paypal have positive working capital based on FY2022 data? If working capital is not a useful or relevant metric for this company, then please state that and explain why.",incorrect,0.0,0,0,0
financebench_id_00206,"Are JPM's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why.",incorrect,0.0,0,0,0
financebench_id_00215,Is Verizon a capital intensive business based on FY 2022 data?,correct,1.0,0,1,1
financebench_id_00216,"Does Verizon have a reasonably healthy liquidity profile based on its quick ratio for FY 2022? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",incorrect,0.0,0,0,0
financebench_id_00222,"Does AMD have a reasonably healthy liquidity profile based on its quick ratio for FY22? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",incorrect,0.0,0,0,0
financebench_id_00283,How much does Pfizer expect to pay to spin off Upjohn in the future in USD million?,incorrect,0.0,0,0,1
financebench_id_00288,Was there any drop in Cash & Cash equivalents between FY 2023 and Q2 of FY2024?,correct,0.8,0,1,1
financebench_id_00299,Which of JPM's business segments had the lowest net revenue in 2021 Q1?,incorrect,0.0,0,0,0
financebench_id_00302,Did Pfizer grow its PPNE between FY20 and FY21?,incorrect,0.0,0,0,0
financebench_id_00382,Which region had the Highest EBITDAR Contribution for MGM during FY2022?,correct,0.6666666666666666,0,0,0
financebench_id_00394,"In 2022 Q2, which of JPM's business segments had the highest net income?",incorrect,0.0,0,0,0
financebench_id_00407,Which type of debt received the largest investment among the short term investments for MGM in H1 FY2023?,correct,0.6666666666666666,0,1,1
financebench_id_00438,"Does Adobe have an improving operating margin profile as of FY2022? If operating margin is not a useful metric for a company like this, then state that and explain why.",incorrect,0.0,0,0,1
financebench_id_00460,Was there any change in the number of Best Buy stores between Q2 of FY2024 and FY2023?,incorrect,1.0,1,1,1
financebench_id_00464,Is Boeing's business subject to cyclicality?,correct,1.0,0,1,1
financebench_id_00476,Which debt securities are registered to trade on a national securities exchange under American Express' name as of 2022?,incorrect,0.0,1,1,1
financebench_id_00494,What production rate changes is Boeing forecasting for FY2023?,incorrect,0.5,0,0,0
financebench_id_00499,Is 3M a capital-intensive business based on FY2022 data?,incorrect,0.0,0,0,0
financebench_id_00517,Are there any product categories / service categories that represent more than 20% of Boeing's revenue for FY2022?,correct,,0,1,1
financebench_id_00521,What are major acquisitions that Ulta Beauty has done in FY2023 and FY2022?,incorrect,,0,0,0
financebench_id_00540,Roughly how many times has AES Corporation sold its inventory in FY2022? Calculate inventory turnover ratio for the FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.,incorrect,,0,0,0
financebench_id_00552,Has Microsoft increased its debt on balance sheet between FY2023 and the FY2022 period?,incorrect,,0,0,0
financebench_id_00563,"From FY21 to FY22, excluding Embedded, in which AMD reporting segment did sales proportionally increase the most?",correct,,0,0,0
financebench_id_00566,Has Verizon increased its debt on balance sheet between 2022 and the 2021 fiscal period?,incorrect,,0,0,0
financebench_id_00585,How does Boeing's effective tax rate in FY2022 compare to FY2021?,incorrect,,0,1,1
financebench_id_00591,Does Adobe have an improving Free cashflow conversion as of FY2022?,incorrect,,1,1,1
financebench_id_00601,What drove the reduction in SG&A expense as a percent of net sales in FY2023?,correct,,1,1,1
financebench_id_00603,What drove the increase in Ulta Beauty's merchandise inventories balance at end of FY2023?,incorrect,,0,0,0
financebench_id_00605,What percent of Ulta Beauty's total spend on stock repurchases for FY 2023 occurred in Q4 of FY2023?,incorrect,,0,0,0
financebench_id_00606,Did Ulta Beauty's wages expense as a percent of net sales increase or decrease in FY2023?,incorrect,,0,0,0
financebench_id_00651,Is growth in JnJ's adjusted EPS expected to accelerate in FY2023?,incorrect,,1,1,1
financebench_id_00669,"What drove gross margin change as of FY2022 for JnJ? If gross margin is not a useful metric for a company like this, then please state that and explain why.",incorrect,,0,0,0
financebench_id_00678,"Does Boeing have an improving gross margin profile as of FY2022? If gross margin is not a useful metric for a company like this, then state that and explain why.",incorrect,,0,1,1
financebench_id_00684,"Does AMCOR have an improving gross margin profile as of FY2023? If gross margin is not a useful metric for a company like this, then state that and explain why.",incorrect,,0,0,0
financebench_id_00685,"Are Best Buy's gross margins historically consistent (not fluctuating more than roughly 2% each year)? If gross margins are not a relevant metric for a company like this, then please state that and explain why.",incorrect,,0,0,0
financebench_id_00702,Were there any potential events that are not in Pfizer's standard business operations that substantially increased net income in 2019?,correct,,0,1,1
financebench_id_00705,"By how much did Pepsico increase its unsecured five year revolving credit agreement on May 26, 2023?",incorrect,,1,1,1
financebench_id_00711,Roughly how many times has JnJ sold its inventory in FY2022? Calculate inventory turnover ratio for FY2022; if conventional inventory management is not meaningful for the company then state that and explain why.,incorrect,,0,0,0
financebench_id_00720,"What drove gross margin change as of the FY2022 for American Express? If gross margin is not a useful metric for a company like this, then please state that and explain why.",incorrect,,0,0,0
financebench_id_00723,"Does AMEX have an improving operating margin profile as of 2022? If operating margin is not a useful metric for a company like this, then state that and explain why.",incorrect,,0,0,0
financebench_id_00724,"For Pfizer, which geographic region had the biggest drop in Q22023 year over year revenues (on a percentage basis)?",incorrect,,0,0,0
financebench_id_00735,Has Pepsico reported any materially important ongoing legal battles from FY2022 and FY2021?,incorrect,,0,0,0
financebench_id_00746,Which debt securities are registered to trade on a national securities exchange under Ulta Beauty's name as of FY2023?,incorrect,,1,1,1
financebench_id_00757,Did AMD report customer concentration in FY22?,correct,,1,1,1
financebench_id_00790,Is CVS Health a capital-intensive business based on FY2022 data?,incorrect,,0,0,1
financebench_id_00799,"Has AMCOR's quick ratio improved or declined between FY2023 and FY2022? If the quick ratio is not something that a financial analyst would ask about a company like this, then state that and explain why.",incorrect,,0,0,0
financebench_id_00807,"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.",incorrect,,0,0,0
financebench_id_00822,Were there any board member nominees who had substantially more votes against joining than the other nominees?,correct,,1,1,1
financebench_id_00839,Does Foot Locker's new CEO have previous CEO experience in a similar company to Footlocker?,incorrect,,0,0,0
financebench_id_00859,"Among all of the derivative instruments that Verizon used to manage the exposure to fluctuations of foreign currencies exchange rates or interest rates, which one had the highest notional value in FY 2021?",correct,,1,1,1
financebench_id_00882,"As of May 26, 2023, what is the total amount Pepsico may borrow under its unsecured revolving credit agreements?",correct,,1,1,1
financebench_id_00917,"What drove operating margin change as of the FY22 for AMD? If operating margin is not a useful metric for a company like this, then please state that and explain why.",incorrect,,0,0,0
financebench_id_00941,Which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023?,incorrect,,0,0,0
financebench_id_00956,Are JnJ's FY2022 financials that of a high growth company?,incorrect,,0,0,0
financebench_id_00995,What are the major products and services that AMD sells as of FY22?,correct,,0,0,0
financebench_id_01009,What are the geographies that Pepsico primarily operates in as of FY2022?,incorrect,,0,0,0
financebench_id_01028,What are the geographies that American Express primarily operates in as of 2022?,incorrect,,0,0,0
financebench_id_01077,"What are major acquisitions that Best Buy has done in FY2023, FY2022 and FY2021?",incorrect,,0,0,0
financebench_id_01079,"What are major acquisitions that AMCOR has done in FY2023, FY2022 and FY2021?",incorrect,,0,0,0
financebench_id_01091,Has Boeing reported any materially important ongoing legal battles from FY2022?,correct,,0,1,1
financebench_id_01107,"Has CVS Health reported any materially important ongoing legal battles from 2022, 2021 and 2020?",correct,,1,1,1
financebench_id_01148,What industry does AMCOR primarily operate in?,correct,,0,0,1
financebench_id_01163,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for Nike in FY2023?",correct,,1,1,1
financebench_id_01198,What drove revenue change as of the FY22 for AMD?,correct,,0,0,1
financebench_id_01226,"What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric for a company like this, then please state that and explain why.",incorrect,,0,0,0
financebench_id_01244,Has CVS Health paid dividends to common shareholders in Q2 of FY2022?,correct,,1,1,1
financebench_id_01254,Has MGM Resorts paid dividends to common shareholders in FY2022?,incorrect,,0,0,0
financebench_id_01275,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for Best Buy in FY2023?",incorrect,,0,0,0
financebench_id_01279,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for AMD in FY22?",incorrect,,0,0,0
financebench_id_01290,Who are the primary customers of Boeing as of FY2022?,incorrect,,0,0,0
financebench_id_01319,What is the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.,incorrect,,0,0,0
financebench_id_01328,What is the quantity of restructuring costs directly outlined in Pepsico's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.,correct,,1,1,1
financebench_id_01346,How much has the effective tax rate of Corning changed between FY2021 and FY2022?,correct,,1,1,1
financebench_id_01351,How much has the effective tax rate of American Express changed between FY2021 and FY2022?,incorrect,,0,0,0
financebench_id_01474,"As of FY2023Q1, why did Pepsico raise full year guidance for FY2023?",correct,,1,1,1
financebench_id_01476,"As of FY2023Q1, by how many percentage points did Pepsico raise full year guidance in respect of core constant currency EPS growth?",correct,,1,1,1
financebench_id_01482,"At the Pepsico AGM held on May 3, 2023, what was the outcome of the shareholder vote on the shareholder proposal for a congruency report by Pepsico on net-zero emissions policies?",incorrect,,0,1,1
financebench_id_01484,How did JnJ's US sales growth compare to international sales growth in FY2022?,incorrect,,0,0,0
